temp,sg,comment,id,type,time,__acc_reading_doc_id,__acc_reading_data_id,timepoint,ph,pressure
16.1,,,manual,manual,1621514054017,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,b2j8IBR4VLAKGCGCcmryaSj3fpi7uh,2021-05-20T12:34:14.017Z,
16.8,,,manual,manual,1621500815650,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,RTOy3LzAqTAlJpbWRj10dq6O0PMt24,2021-05-20T08:53:35.650Z,
17.1,,,manual,manual,1621449079444,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,WMR9UCLzUGiiRXNHF5yaH1NpoFryqr,2021-05-19T18:31:19.444Z,
16.8,,,manual,manual,1621421540528,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,LOJN2OcoBlsH7ui4p5Ub99CkAdVaou,2021-05-19T10:52:20.528Z,
17.1,,,manual,manual,1621411182407,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,kcBNQmII9WpS2LbbcXiXOqjtaEe4kx,2021-05-19T07:59:42.407Z,
17.1,,,manual,manual,1621367156083,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,e5iucMBmpkytU5QOfNXGKMBthQo6Ab,2021-05-18T19:45:56.083Z,
16.2,,,manual,manual,1621344600000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,tMpbOPM2iX26KtoXxSkgYXbsBf21EI,2021-05-18T13:30:00.000Z,
16.5,,,manual,manual,1621316627918,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,5RokMLW6Aod0GSnl2O95QNhYMJPpiq,2021-05-18T05:43:47.918Z,
17.1,,,manual,manual,1621286700000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ZIAqeurOxWNfUqB5AuR5PfpId3Yz1D,2021-05-17T21:25:00.000Z,
16,,,manual,manual,1621275119761,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,ir3JZaPATEGX45Akf6Qx3flZ7Q517h,2021-05-17T18:11:59.761Z,
17.1,,,manual,manual,1621250632883,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,wx8rlEQbhqvZgDBqXnFlHE8HChpwkr,2021-05-17T11:23:52.883Z,
15.9,,,manual,manual,1621231320000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,O0yMfW1JfIPrJyj5IxjLtePYpLW300,2021-05-17T06:02:00.000Z,
16,,,manual,manual,1621197540000,M3OtyAmBL3xQ4IKT4qcgRRfpQlxhUJ$0$manual$manual$0,4TAkRgUeY5U6mkghtjpkhUbHjt2XME,2021-05-16T20:39:00.000Z,
